parent_category,parent_category_link,category,category_link,level
Sweet Treats & Candy,/d/candy,Private Selection,/pl/candy/23?facets=true&pzn=relevance&taxonomyId=23&brandName=Private%20Selection&fulfillment=all,8
Sweet Treats & Candy,/d/candy,Kroger Brand,/pl/candy/23?facets=true&pzn=relevance&taxonomyId=23&brandName=Kroger&fulfillment=all,8
Plant-Based,/f/shop-by-diet/plant-based-groceries,Plant-Based Simple Truth® Picks,/search?query=plant%20based&searchType=default_search&brandName=Simple%20Truth&fulfillment=all&pzn=relevance,8
