parent_category,category_link,reason
Fabric Softeners,/pl/fabric-softener/2602500005?taxonomyId=2602500005&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Bleach,/pl/bleach/2602500002?taxonomyId=2602500002&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Scent Boosters,/pl/scent-booster/2602500011?taxonomyId=2602500011&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Air Fresheners,/pl/air-fresheners/26001?taxonomyId=26001&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Hand & Facial Tissue,/pl/facial-tissue/2602400004?taxonomyId=2602400004&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Trash Bags,/pl/trash-bags/26020?taxonomyId=26020&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Baking Paper & Foils,/pl/baking-paper-foils/26019?taxonomyId=26019&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Disposable Tableware,/pl/disposable-tableware/26018?taxonomyId=26018&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Food Storage Bags & Containers,/pl/food-storage/26006?taxonomyId=26006&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Brooms, Mops & Dusters",/pl/brooms-mops-dusters/26022?taxonomyId=26022&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Vacuums & Floor Care,/pl/vacuums-floor-care/26023?taxonomyId=26023&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Pest Control,/pl/pest-control/26021?taxonomyId=26021&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Dog,/search?keyword=PetShopDog&query=PetShopDog&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Cat,/search?keyword=PetShopCat&query=PetShopCat&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
