parent_category,category_link,reason
Baking Essentials,/search?keyword=CelebrationBaking&query=CelebrationBaking&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Party Décor & Supplies,/search?keyword=CelebrationSuppliesDecor&query=CelebrationSuppliesDecor&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Gifting Essentials,/f/party-gifts,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Graduation,/f/graduation,page not loaded
Anniversary,/search?keyword=CelebrationAnniversary&query=CelebrationAnniversary&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Cakes & Cookies,/search?query=CelebrationBDayCakeCookies&monet=curated&fulfillment=all&keyword=CelebrationBDayCakeCookies&searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Cake Toppers & Candles,/search?query=CelebrationBDayCandlesToppers&monet=curated&fulfillment=allted&fulfillment=all&keyword=CelebrationBDayCandlesToppers&searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Desserts,/search?query=CelebrationBDayFrznDessert&monet=curated&fulfillment=all&keyword=CelebrationBDayFrznDessert&searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Baking Ingredients,/search?query=CelebrationBDayBaking&monet=curated&fulfillment=all&keyword=CelebrationBDayBaking&searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Baking Tools & Helpers,/search?query=CelebrationBDayGMBaking&monet=curated&fulfillment=all&keyword=CelebrationBDayGMBaking&searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Celebrate Grads with Special Deals,/f/graduation,page not loaded
Cakes & Cookies,/search?query=CelebrationBDayCakeCookies&monet=curated&fulfillment=all&keyword=CelebrationBDayCakeCookies&searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Cake Toppers & Candles,/search?query=CelebrationBDayCandlesToppers&monet=curated&fulfillment=allted&fulfillment=all&keyword=CelebrationBDayCandlesToppers&searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Desserts,/search?query=CelebrationBDayFrznDessert&monet=curated&fulfillment=all&keyword=CelebrationBDayFrznDessert&searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Baking Ingredients,/search?query=CelebrationBDayBaking&monet=curated&fulfillment=all&keyword=CelebrationBDayBaking&searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Baking Tools & Helpers,/search?query=CelebrationBDayGMBaking&monet=curated&fulfillment=all&keyword=CelebrationBDayGMBaking&searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Celebrate Grads with Special Deals,/f/graduation,page not loaded
View All Healthcare Departments,/health,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Explore Healthy Nutrition,/health/info,page not loaded
Check Out OptUP™,/health/pharmacy/optup,page not loaded
View All Healthcare Departments,/health,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Explore Healthy Nutrition,/health/info,page not loaded
Check Out OptUP™,/health/pharmacy/optup,page not loaded
View All Healthcare Departments,/health,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Explore Healthy Nutrition,/health/info,page not loaded
Check Out OptUP™,/health/pharmacy/optup,page not loaded
View All Healthcare Departments,/health,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Explore Healthy Nutrition,/health/info,page not loaded
"Learn More About Opioids
(Opens in a new tab or window)",https://generationrx.org/learn/understand-the-issue/,page not loaded
Learn More About Mental Wellness,https://krogerhealth.everfi-next.net/student/dashboard/wellness-resources/krogerhealth-mental-wellness-education,page not loaded
Find a Pharmacy,/stores/search?selectedStoreFilters=Pharmacy&hash=Pharmacy,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
View All Healthcare Departments,/health,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Explore Healthy Nutrition,/health/info,page not loaded
Meet Our Dietitians,/health/registered-dietitians,page not loaded
Check Out OptUP™,/health/pharmacy/optup,page not loaded
Physicals & Screenings,/health/pharmacy/clinical-services,page not loaded
Preventive & Ongoing Care,/health/clinic/services/ongoing-health-management,page not loaded
Virtual Care,/health/clinic/virtual-care,page not loaded
Vaccines & Injections,/health/clinic/vaccinations,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
View All Healthcare Departments,/health,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
