parent_category,category_link,reason
Box Wine,/pl/box-wine/08182,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Dessert Wines & Vermouth,/pl/desserts-vermouth-wine/08185,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Liquor,/pl/spirits-liquor/08121,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Mixers,/pl/cocktailmixers/08189?taxonomyId=08189&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Non-Alcoholic Beer & Wine,/pl/non-alcoholic-beer-wine/08184,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Bar & Wine Accessories,/pl/bar-wine- accessories/28011,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Pizza,/pl/frozen-pizza/19003,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Ice Cream & Ice Pops,/pl/ice-cream-ice-pops/19002,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Meals & Sides,/pl/frozen-meals-sides/19004,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Appetizers & Snacks,/pl/frozen-appetizers-snacks/19006,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Vegetables,/pl/frozen-vegetables/19005,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Breakfast,/pl/frozen-breakfast/19007,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Frozen Chicken, Meat & Seafood",/pl/frozen-meat-seafood-meatless/19008,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Potatoes & Onion Rings,/pl/frozen-potatoes-onion-rings/19010,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Bread,/pl/frozen-bread/19009,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Fruit,/pl/frozen-fruit/19012,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Desserts & Pies,/pl/frozen-desserts/19001,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Juice & Mixers,/pl/frozen-juice-mixers/19011,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen International Foods,/pl/international-frozen-foods/19013,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Plant Based Meat,/pl/frozenmeat-alternatives/1900800005?taxonomyId=1900800005&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Cold, Cough & Flu",/pl/cold-cough-flu/22011?searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Allergy & Sinus,/pl/allergy-sinus/22012?searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Pain & Fever,/pl/pain-fever/22005?searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Children's Medicine,/pl/children-s-medicine/22014?searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Vitamins & Supplements,/pl/vitamins-supplements/22013?searchType=mktg%20attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Immune Support,/pl/immune-system-supports/2201100003?fulfillment=all&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Digestive Health & Nausea,/pl/digestive-health-nausea/22001?searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Protein Shakes & Powders,/pl/diet-adult-nutrition/22010?searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Sleep Aids,/pl/sleep-aids/22006?searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
First Aid,/pl/first-aid/22004?searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Sunscreen,/pl/all/00?fulfillment=all&query=sunscreen&searchType=mktg attribute&pzn=relevance,page not loaded
Energy & Stimulants,/pl/energy-stimulants/22008?searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Eye Care,/pl/eye-care/22002?searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Foot Care,/pl/foot-care/22007?searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Home Healthcare Solutions,/pl/home-healthcare-solutions/22009?searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Sexual Health,/pl/sexual-health/22015?searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Shop All,/pl/health-wellness/22?fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Letter Vitamins,/pl/letter-vitamins/2201300001?taxonomyId=2201300001&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Minerals,/pl/minerals/2201300004?taxonomyId=2201300004&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Herbal Supplements,/pl/herbalsupplements/2201300003?taxonomyId=2201300003&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Multi Vitamins,/pl/multi-vitamins/2201300005?taxonomyId=2201300005&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Nutritional Supplements,/pl/nutrition-dietsupplements/2201300008?taxonomyId=2201300008&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Natural & Organic,/pl/vitaminssupplements/1800100003?taxonomyId=1800100003&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Children's Vitamins,/pl/children-svitamins/2201300002?taxonomyId=2201300002&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Probiotics,/pl/probiotics/2201300009,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Prenatal & Postnatal,/pl/prenatalpostnatal-vitamins/2201300010?taxonomyId=2201300010&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Joint Health,/pl/joint-health/2201300007?taxonomyId=2201300007&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Heart Health,/pl/fish-oil-oilsomegas/2201300006?taxonomyId=2201300006&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Hair Skin & Nails,/pl/hair-skin-nailssupplements/2201300011?taxonomyId=2201300011&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Oral Care,/pl/oral-care/21003?searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Hand Soap & Sanitizers,/pl/hand-soap-sanitizer/21007?searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Bath & Shower,/pl/bath-shower/21013?searchType=mktg attribute&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
