parent_category,category_link,reason
Pork & Ham,/pl/pork-ham/05006?searchType=curated&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Turkey,/pl/turkey/05012?searchType=curated&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Ready to Cook,/search?keyword=HomeChefReadytoCook&query=HomeChefReadytoCook&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Plant-Based Meat,/search?keyword=Meat2020Meatless&query=Meat2020Meatless&searchType=mktgattribute&monet=curated&fulfillment=all&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Meat,/search?keyword=frozenmeat&query=frozenmeat&searchType=mktgattribute&monet=curated&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Hot Dogs & Franks,/pl/hot-dogs-franks/05005?searchType=curated&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Lamb, Veal & Bison",/pl/lamb-veal-bison/05014?searchType=curated&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Bacon & Breakfast Sausage,/pl/bacon-breakfast-sausage/05017?searchType=curated&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Dinner Sausage,/pl/dinner-sausage/05003?searchType=curated&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Packaged & Sliced Deli Meats,/pl/packaged-deli-meat/05013?searchType=curated&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Pepperoni, Salami & Summer Sausage",/pl/pepperoni-salami-summer-sausage/05015?searchType=curated&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Lunch & Snack Kits,/pl/lunch-snack-kits/05018?searchType=curated&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Heat & Serve,/pl/heat-serve-meals-and-sides/05016?searchType=curated&pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Enhancements,/pl/refrigerated-pickles-sauerkraut/05008?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Shrimp,/pl/shrimp/0501000009?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Wild Caught Fillets,/search?keyword=SeafoodDeptWildCaughtFish&query=SeafoodDeptWildCaughtFish&searchType=mktg attribute&monet=promo&ful%20lfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
