parent_category,parent_category_link,category,category_link,level
Shop Health & Wellness Items,/d/health,Kroger,/pl/health-wellness/22?brandName=Kroger&facets=true&monet=false,7
Shop Health & Wellness Items,/d/health,Simple Truth,/pl/health-wellness/22?brandName=Simple%20Truth&facets=true&monet=false,7
Sweet Treats & Candy,/d/candy,Private Selection,/pl/candy/23?facets=true&pzn=relevance&taxonomyId=23&brandName=Private%20Selection&fulfillment=all,7
Sweet Treats & Candy,/d/candy,Kroger Brand,/pl/candy/23?facets=true&pzn=relevance&taxonomyId=23&brandName=Kroger&fulfillment=all,7
