parent_category,parent_category_link,category,category_link,level
Celebrations Main Page,/f/party-shop,Build a Custom Cake Online,/onlinedeli/servlet/en/delibakery/cakes/licensed-cakes?loaded=true,7
Celebrations Main Page,/f/party-shop,Order Premade Cakes,/onlinedeli/servlet/en/delibakery/cakes/special-occasion-cakes,7
Celebrations Main Page,/f/party-shop,Baking Essentials,/search?keyword=CelebrationBaking&query=CelebrationBaking&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,7
Celebrations Main Page,/f/party-shop,Party Décor & Supplies,/search?keyword=CelebrationSuppliesDecor&query=CelebrationSuppliesDecor&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,7
Celebrations Main Page,/f/party-shop,Sweet Treats & Candy,/d/candy,7
Celebrations Main Page,/f/party-shop,Flowers,/d/floral,7
Celebrations Main Page,/f/party-shop,"Food, Snacks & Beverages",/f/party-foods,7
Celebrations Main Page,/f/party-shop,Gifting Essentials,/f/party-gifts,7
Celebrations Main Page,/f/party-shop,Birthday,/f/birthdays,7
Celebrations Main Page,/f/party-shop,Graduation,/f/graduation,7
Celebrations Main Page,/f/party-shop,Anniversary,/search?keyword=CelebrationAnniversary&query=CelebrationAnniversary&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,7
Celebrations Main Page,/f/party-shop,Baby,/d/baby,7
Gifting Essentials,/f/party-gifts,Celebrations Main Page,/f/party-shop?pzn=relevance,7
Gifting Essentials,/f/party-gifts,Birthday Must-Haves,/f/birthdays?pzn=relevance,7
Gifting Essentials,/f/party-gifts,"Snacks, Main Dishes & Fresh Cocktails",/search?keyword=Summer2020CelebrationSnacksChips&query=Summer2020CelebrationSnacksChips&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,7
"Snacks, Main Dishes & Fresh Cocktails",/f/party-foods,Online Ordering,/orderonline?pzn=relevance,7
"Snacks, Main Dishes & Fresh Cocktails",/f/party-foods,Grab & Go Options,/search?keyword=Celebrationgrabngofood&query=Celebrationgrabngofood&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,7
"Snacks, Main Dishes & Fresh Cocktails",/f/party-foods,Snacks & Chips,/search?keyword=Summer2020CelebrationSnacksChips&query=Summer2020CelebrationSnacksChips&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,7
"Snacks, Main Dishes & Fresh Cocktails",/f/party-foods,Sweet Treats & Candy,/search?query=CelebrationPartyCandy&monet=curated&fulfillment=all&pzn=relevance,7
"Snacks, Main Dishes & Fresh Cocktails",/f/party-foods,Celebrations Main Page,/f/party-shop,7
"Snacks, Main Dishes & Fresh Cocktails",/f/party-foods,Birthday Must-Haves,/f/birthdays,7
"Snacks, Main Dishes & Fresh Cocktails",/f/party-foods,Gifting Essentials,/f/party-gifts,7
Celebrations Main Page,/f/party-shop?pzn=relevance,Build a Custom Cake Online,/onlinedeli/servlet/en/delibakery/cakes/licensed-cakes?loaded=true,7
Celebrations Main Page,/f/party-shop?pzn=relevance,Order Premade Cakes,/onlinedeli/servlet/en/delibakery/cakes/special-occasion-cakes,7
