parent_category,parent_category_link,category,category_link,level
Shop Our Brands,/b/ourbrands,Smart Way,/search?brandName=Smart%20Way&fulfillment=all&monet=false,7
Shop Our Brands,/b/ourbrands,Bakery Fresh,/search?brandName=Bakery%20Fresh%20Goodness&monet=false,7
Shop Our Brands,/b/ourbrands,Heritage Farm,/search?brandName=Heritage%20Farm&fulfillment=all&monet=false,7
Shop Our Brands,/b/ourbrands,Office Works,/search?brandName=Office%20Works&monet=false,7
Shop Our Brands,/b/ourbrands,HD Designs,/search?brandName=HD%20Designs&monet=false,7
Shop Our Brands,/b/ourbrands,Everyday Living,/search?brandName=Everyday%20Living&monet=false,7
Shop Our Brands,/b/ourbrands,Pretty Savvy,/search?monet=false&brandName=Pretty%20Savvy&fulfillment=all,7
