parent_category,parent_category_link,category,category_link,level
Luvsome,/b/luvsome,Pet Treats,/search?keyword=LuvsomeBrandPagePetTreats&query=LuvsomeBrandPagePetTreats&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,4
New Arrivals,/f/new-arrivals,Shop All Departments,/d/shop-all-departments,4
New Arrivals,/f/new-arrivals,Shop Our Brands,/b/ourbrands,4
New Arrivals,/f/new-arrivals,Meal Planning,/blog/meal-planning,4
New Arrivals,/f/new-arrivals,Specialty Diets,/f/shop-by-diet,4
New Arrivals,/f/new-arrivals,Shop Your Regulars,/products/start-my-cart,4
World Cuisines,/blog/meal-planning/multicultural,Shrimp Paella,/r/shrimp-paella-recipe/569ea52a84aed2dc36020509,4
World Cuisines,/blog/meal-planning/multicultural,Authentic Jerk Chicken,/r/authentic-jerk-chicken-recipe/0eedf418-ecbd-4857-b32d-d515fda2c27e,4
World Cuisines,/blog/meal-planning/multicultural,Caprese Salad,/r/caprese-salad-on-stick-recipe/5c2fb1bc9da07c4f57d2f1ef,4
World Cuisines,/blog/meal-planning/multicultural,Spicy Fish Tacos,/r/spicy-fish-tacos-with-creamy-cilantro-slaw-recipe/5a90620f84aee1f93240d6ba,4
World Cuisines,/blog/meal-planning/multicultural,Tofu Bahn Mi,/r/tofu-banh-mi-recipe/1dc76fd8-a21b-4607-b3e9-e8a45244636e,4
World Cuisines,/blog/meal-planning/multicultural,Greek Salad with Grilled Chicken,/r/greek-salad-with-grilled-chicken-recipe/23613a5f-5d66-4903-ad9a-23671898f90c,4
World Cuisines,/blog/meal-planning/multicultural,Celebrating Asian Cultures,/f/diversity-and-inclusion/celebrating-asian-culture,4
School Essentials,/f/back-to-school,Cleaning & Classroom Supplies,/search?keyword=BTS24CleaningClassroomSupplies&query=BTS24CleaningClassroomSupplies&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,4
School Essentials,/f/back-to-school,Vitamins,/search?keyword=BTS24Vitamins&query=BTS24Vitamins&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,4
School Essentials,/f/back-to-school,Cold & Flu,/search?keyword=BTS24ColdFluMedicine&query=BTS24ColdFluMedicine&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,4
School Essentials,/f/back-to-school,Health Services,/health/clinic/vaccinations/school,4
School Essentials,/f/back-to-school,Dietary Lifestyles,/f/shop-by-diet,4
Party Planning,/f/party-shop,Build a Custom Cake Online,/onlinedeli/servlet/en/delibakery/cakes/licensed-cakes?loaded=true,4
Party Planning,/f/party-shop,Order Premade Cakes,/onlinedeli/servlet/en/delibakery/cakes/special-occasion-cakes,4
Party Planning,/f/party-shop,Baking Essentials,/search?keyword=CelebrationBaking&query=CelebrationBaking&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,4
Party Planning,/f/party-shop,Party Décor & Supplies,/search?keyword=CelebrationSuppliesDecor&query=CelebrationSuppliesDecor&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,4
Party Planning,/f/party-shop,Sweet Treats & Candy,/d/candy,4
Party Planning,/f/party-shop,Flowers,/d/floral,4
Party Planning,/f/party-shop,"Food, Snacks & Beverages",/f/party-foods,4
Party Planning,/f/party-shop,Gifting Essentials,/f/party-gifts,4
Party Planning,/f/party-shop,Birthday,/f/birthdays,4
Party Planning,/f/party-shop,Graduation,/f/graduation,4
Party Planning,/f/party-shop,Anniversary,/search?keyword=CelebrationAnniversary&query=CelebrationAnniversary&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,4
Party Planning,/f/party-shop,Baby,/d/baby,4
Floral & Balloons,/d/floral,Fresh Cut Roses,/pl/fresh-cut-roses/09130,4
Floral & Balloons,/d/floral,Bouquets,/pl/bouquets/09126,4
Floral & Balloons,/d/floral,Floral Arrangements,/pl/floralarrangements/09128,4
Floral & Balloons,/d/floral,Orchids,/pl/orchids/09132,4
Floral & Balloons,/d/floral,Home & Gift,/pl/potted-plants/09133,4
Floral & Balloons,/d/floral,Balloons,/pl/balloons/09125,4
Floral & Balloons,/d/floral,Thank You,/search?keyword=FloralThankYou&query=FloralThankYou&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,4
Floral & Balloons,/d/floral,Thinking of You,/search?keyword=FloralThinkingOfYou&query=FloralThinkingOfYou&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,4
Floral & Balloons,/d/floral,Anniversary,/search?keyword=FloralAnniversary&query=FloralAnniversary&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,4
Floral & Balloons,/d/floral,Birthday,/search?keyword=FloralBirthday&query=FloralBirthday&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,4
Floral & Balloons,/d/floral,New Baby,/search?keyword=FloralNewBaby&query=FloralNewBaby&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,4
Floral & Balloons,/d/floral,Sympathy,/search?keyword=FloralSympathy&query=FloralSympathy&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,4
All Lifestyles,/f/shop-by-diet,Keto-Friendly,/f/shop-by-diet/keto-groceries,4
All Lifestyles,/f/shop-by-diet,Mediterranean,/f/shop-by-diet/mediterranean-groceries,4
All Lifestyles,/f/shop-by-diet,Plant-Based,/f/shop-by-diet/plant-based-groceries,4
All Lifestyles,/f/shop-by-diet,Gluten-Free,/f/shop-by-diet/gluten-free-groceries,4
Keto-friendly,/f/shop-by-diet/keto-groceries,Keto Snacks,/pl/snacks/01020?query=keto&searchType=default_search&taxonomyId=01020&fulfillment=all&pzn=relevance,4
