parent_category,category_link,reason
Domestic & Imported Beer,/pl/beer/08119?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Craft Beer,/pl/craft-beer/08145?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Hard Seltzers & Ready to Drink,/pl/hard-seltzers-ready-to-drink-alcohol/08183?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Red Wine,/pl/red-wine/08120?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
White Wine,/pl/white-wine/08122?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Rose & Blush Wine,/pl/rose-blush-wine/08181?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Champagne & Sparkling Wine,/pl/champagne-sparkling-wine/08180?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Box Wine,/pl/box-wine/08182?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Dessert & Vermouth Wine,/pl/desserts-vermouth-wine/08185?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Shop Liquor,/pl/liquor/08121?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Shop Non-Alcoholic Beer & Wine,/pl/non-alcoholic-beer-wine/08184?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
