parent_category,category_link,reason
Fresh Deli Cheeses,/pl/fresh-deli-cheese/13002?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Chicken & Hot Meals,/pl/hot-meals/13007?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Specialty Cheeses,/pl/specialty-cheeses/13005?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Olives, Dips, Spreads & Snacks",/pl/olives-dips-spreads-snacks/13011?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Packaged Deli Meats,/pl/packaged-deli-meat/13003?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Packaged Deli Cheeses,/pl/packaged-deli-cheese/13004?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Ready-to-heat Meals & Soups,/pl/ready-to-heat-meals/13006?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Cold Side Dishes,/pl/cold-side-dishes/13009?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Grab & Go Meals,/pl/grab-go-meals/13008?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Party Platters,/pl/party-platters/13010?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Shop All,/d/bakery,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Cakes & Cupcakes,/pl/cakes-cupcakes/14163?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Donuts, Danishes & Muffins",/pl/donuts-danishes-muffins/14166?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Cookies,/pl/cookies/14187?taxonomyId=14187&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Brownies,/pl/brownies/14165?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Pies,/pl/pies/14169?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Angel Food, Pound & Pudding Cakes",/pl/angel-food-pound-pudding-cakes/14161?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Cheesecakes,/pl/cheesecakes/14164?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Sweet Goods & Snacks,/pl/sweet-goods-snacks/14180?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Artisan Bread,/pl/artisan-breads/14162?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Sandwich Bread, Buns and Rolls",/pl/sandwich-bread-buns-and-rolls/14181,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Dinner Bread & Rolls,/pl/dinner-bread-and-rolls/14182,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Breakfast Breads,/pl/breakfast-breads/14183,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Bread by Lifestyle,/pl/bread-by-lifestyle/14184,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Specialty Breads & Rolls,/pl/specialty-breads-and-rolls/14185,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Specialty Butters & Spreads,/pl/specialty-butters-and-spreads/14186,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Place Your Order,/order-ahead,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Place an Order,/order-ahead,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Crackers,/pl/crackers/01026?query=crackers&searchType=default_search&taxonomyId=01026&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Packaged Breads,/pl/packaged-bread/01016?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Canned Foods,/pl/canned-foods/01006?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Baking & Cooking,/pl/baking-cooking/01012?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Condiments & Salad Dressings,/pl/condiments-sauces/01008?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Pasta & Pasta Sauces,/pl/pasta-pasta-sauces/01010?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Grains, Beans & Rice",/pl/grains-beans-rice/01007?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Packaged Meals & Sides,/pl/packaged-meals-sides/01011?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Spreads, Jelly & Honey",/pl/spreads-jelly-honey/01014?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Spices & Seasonings,/pl/spices-seasonings/01015?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Nuts, Trail Mix & Seeds",/pl/nuts-trail-mix-seeds/01022,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Indian,/pl/indian-foods/0101300170?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
European,/pl/european-foods/0101300166?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Kosher,/pl/kosher-foods/0101300004?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Milk & Plant-based Milk,/pl/milk-plant-based-%20milk/02001?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Cream & Creamer,/pl/cream-creamer/02005?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Eggs & Egg Substitutes,/pl/eggs-egg-substitutes/02003?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Cheese,/pl/cheese/02002?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Yogurt,/pl/yogurt/02009?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Butter & Margarine,/pl/butter-margarine/02004?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Sour Cream & Dips,/pl/sour-cream-dips/02006?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Refrigerated Dough & Crust,/pl/refrigerated-dough-crust/02007?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Pudding & Gelatin,/pl/pudding-gelatin/02008?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Pizza,/pl/frozen-pizza/19003?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Meals & Sides,/pl/frozen-meals-sides/19004?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Appetizers & Snacks,/pl/frozen-appetizers-snacks/19006?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Breakfast,/pl/frozen-breakfast/19007?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Potatoes & Onion Rings,/pl/frozen-potatoes-onion-rings/19010?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen International Foods,/pl/international-frozen-foods/19013?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Frozen Chicken, Meat & Seafood",/pl/frozen-chicken-meat-seafood/19008,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Bread,/pl/frozen-bread/19009?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Ice Cream & Ice Pops,/pl/ice-cream-ice-pops/19002?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Desserts,/pl/frozen-desserts/19001?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Vegetables,/pl/frozen-vegetables/19005?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Fruit,/pl/frozen-fruit/19012?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Juice & Mixers,/pl/frozen-juice-mixers/19011?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Ice,/pl/ice/19014?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Produce,/pl/organic-produce/18003?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Meat & Seafood,/pl/meat-seafood/18004?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Dairy & Eggs,/pl/dairy-eggs/18007?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Bakery & Bread,/pl/bakery-bread/18009?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Deli,/pl/deli/18008?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Pantry,/pl/grocery/18012?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen,/pl/frozen/18010?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Beverages,/pl/beverages/18005?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Spices & Baking,/pl/spices-baking/18006?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Cleaning & Household,/pl/cleaning-household/18011?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Beauty & Personal Care,/pl/beauty-personal-care/18001?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Baby,/pl/baby/18002?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Soda & Pop,/pl/soda-pop/04001?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Juice & Lemonade,/pl/juice/04004?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Drink Boxes & Pouches,/pl/drink-boxes-pouches/04010?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Energy Drinks,/pl/energy-drinks/04011,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Sports Drinks,/pl/sports-drinks/04005,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Drink Mixes & Beverage Enhancers,/pl/drink-mixes-beverage-enhancers/04008?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Water,/pl/water/04006?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Sparkling Water,/pl/sparkling-water/04002?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Coffee,/pl/coffee/04003?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Tea & Kombucha,/pl/tea-kombucha/04007?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Cereal & Granola,/pl/cereal-granola/03001?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Bars & Toaster Pastries,/pl/breakfast-cereal-bars/03002,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Bread, Bagels & Muffins",/pl/bread-bagels-muffins/03004?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Donuts & Pastries,/pl/donuts-pastries/03005?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Pancake, Waffle & Baking Mixes",/pl/pancake-waffle-baking-mixes/03003?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Breakfast,/pl/frozen-breakfast/19007?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Dairy & Refrigerated Breakfast,/pl/dairy-refrigerated-breakfast/03006?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Bacon & Breakfast Sausage,/pl/bacon-sausage/05017?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Juice & Breakfast Drinks,/pl/juice-breakfast-drinks/03007?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Ground Coffee,/pl/ground-coffee/0400300003,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
K-Cups & Coffee Pods,/pl/k-cups-coffee-pods/0400300001,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Whole Coffee Beans,/pl/whole-coffee-beans/0400300002,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Coffee Creamers & Flavoring Syrups,/pl/coffee-creamers-flavoring-syrups/0400300008,page not loaded
Nespresso Pods & Capsules,/pl/nespresso-pods-capsules/0400300004,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Espresso Coffee,/pl/espresso-coffee/0400300007,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Cold Brew, Iced & Bottled Coffee",/pl/cold-brew-iced-bottled-coffee/0400300009,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Decaffeinated Coffee,/pl/decaffeinated-coffee/0400300006,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Instant Coffee,/pl/instant-coffee/0400300010,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Seasonal & Holiday Flavored Coffee & Creamer,/pl/seasonal-holiday-flavored-coffee-creamer/0400300005,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Chocolate,/pl/chocolate/23001?pzn=relevance,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Premium Chocolate,/pl/premium-chocolate/23008?pzn=relevance,page not loaded
