parent_category,parent_category_link,category,category_link,level
Japanese,/d/international-asian-japanese,Filipino,/d/international-asian-filipino,7
Japanese,/d/international-asian-japanese,Thai,/d/international-asian-thai,7
Meat,/d/meat,Chicken,/pl/chicken/05002?searchType=curated&pzn=relevance,7
Meat,/d/meat,Ground Beef,/pl/ground-beef-patties/0500100004?pzn=relevance,7
Meat,/d/meat,Steaks,/search?keyword=MeatDeptSteakRoast&query=MeatDeptSteakRoast&searchType=mktgattribute&monet=curated&fullfillment=all,7
Meat,/d/meat,Roasts,/pl/beefroasts/0500100006?&pzn=relevance,7
Meat,/d/meat,Pork & Ham,/pl/pork-ham/05006?searchType=curated&pzn=relevance,7
Meat,/d/meat,Turkey,/pl/turkey/05012?searchType=curated&pzn=relevance,7
Meat,/d/meat,Ready to Cook,/search?keyword=HomeChefReadytoCook&query=HomeChefReadytoCook&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,7
Meat,/d/meat,Plant-Based Meat,/search?keyword=Meat2020Meatless&query=Meat2020Meatless&searchType=mktgattribute&monet=curated&fulfillment=all&pzn=relevance,7
Meat,/d/meat,Frozen Meat,/search?keyword=frozenmeat&query=frozenmeat&searchType=mktgattribute&monet=curated&fulfillment=all,7
Meat,/d/meat,Hot Dogs & Franks,/pl/hot-dogs-franks/05005?searchType=curated&pzn=relevance,7
Meat,/d/meat,"Lamb, Veal & Bison",/pl/lamb-veal-bison/05014?searchType=curated&pzn=relevance,7
Meat,/d/meat,Bacon & Breakfast Sausage,/pl/bacon-breakfast-sausage/05017?searchType=curated&pzn=relevance,7
Meat,/d/meat,Dinner Sausage,/pl/dinner-sausage/05003?searchType=curated&pzn=relevance,7
Meat,/d/meat,Packaged & Sliced Deli Meats,/pl/packaged-deli-meat/05013?searchType=curated&pzn=relevance,7
Meat,/d/meat,"Pepperoni, Salami & Summer Sausage",/pl/pepperoni-salami-summer-sausage/05015?searchType=curated&pzn=relevance,7
Meat,/d/meat,Lunch & Snack Kits,/pl/lunch-snack-kits/05018?searchType=curated&pzn=relevance,7
Meat,/d/meat,Heat & Serve,/pl/heat-serve-meals-and-sides/05016?searchType=curated&pzn=relevance,7
Meat,/d/meat,Enhancements,/pl/refrigerated-pickles-sauerkraut/05008?pzn=relevance,7
Seafood,/d/seafood,Shrimp,/pl/shrimp/0501000009?pzn=relevance,7
Seafood,/d/seafood,Wild Caught Fillets,/search?keyword=SeafoodDeptWildCaughtFish&query=SeafoodDeptWildCaughtFish&searchType=mktg attribute&monet=promo&ful%20lfillment=all,7
Seafood,/d/seafood,Crab & Shellfish,/search?keyword=SeafoodDeptCrabShellFish&query=SeafoodDeptCrabShellFish&searchType=mktg attribute&monet=promo&ful%20lfillment=all&pzn=relevance,7
Seafood,/d/seafood,Farm-Raised Fillets,/search?keyword=SeafoodDeptFarmRaisedFish&query=SeafoodDeptFarmRaisedFish&searchType=mktg attribute&monet=promo&fullfillment=all&pzn=relevance,7
Seafood,/d/seafood,Smoked Salmon,/search?keyword=SeafoodDeptSmokedSalmon&query=SeafoodDeptSmokedSalmon&searchType=mktg attribute&monet=promo&fullfillment=all&pzn=relevance,7
Seafood,/d/seafood,Seafood Salad & Dips,/pl/seafood-salads-dips/0500400020?pzn=relevance,7
Seafood,/d/seafood,Frozen Seafood,/search?keyword=frozenseafoodfresh&query=frozenseafoodfresh&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,7
Seafood,/d/seafood,Fresh Sushi,/pl/sushi/1300800002?pzn=relevance,7
Seafood,/d/seafood,Breaded Fish,/pl/frozen-fish/1900800003?pzn=relevance,7
Seafood,/d/seafood,Canned Seafood,/pl/canned-seafood/0100600007?pzn=relevance,7
Seafood,/d/seafood,Sauce & Breading,/pl/seafoodspices-breading/0500400021?pzn=relevance,7
Seafood,/d/seafood,Breaded Shrimp,/search?keyword=seafoodbreadedshrimp&query=seafoodbreadedshrimp&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,7
Seafood,/d/seafood,Surimi Krab,/search?keyword=seafoodsurimikrab&query=seafoodsurimikrab&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,7
Produce,/d/produce,Spring Produce,/pl/springproduce/0617600004?taxonomyId=0617600004&monet=curated&fulfillment=all&pzn=relevance,7
Produce,/d/produce,Berries,/pl/berries/0611100673,7
Produce,/d/produce,Citrus,/pl/citrus/0611100671?taxonomyId=0611100671&fulfillment=all,7
Produce,/d/produce,Fresh Cut Fruit & Veggies,/pl/fresh-cut-fruit-vegetables/06121,7
Produce,/d/produce,Grapes,/pl/grapes-cherries/0611100681?taxonomyId=0611100681&fulfillment=all,7
Produce,/d/produce,Potatoes,/pl/potatoes/0611200691?taxonomyId=0611200691&fulfillment=all,7
Produce,/d/produce,Apples,/pl/apples/0611100667?taxonomyId=0611100667&fulfillment=all,7
Produce,/d/produce,Broccoli & Cauliflower,/pl/broccolicauliflower/0611200685?taxonomyId=0611100685&fulfillment=all,7
Produce,/d/produce,"Nuts, Trail Mix & Seeds",/pl/nuts-trail-mix-seeds/01022?taxonomyId=01022&fulfillment=all,7
Produce,/d/produce,Carrots,/pl/carrots/0611200682?taxonomyId=0611200682&fulfillment=all,7
Produce,/d/produce,Salad Mix,/pl/salads/06114,7
Produce,/d/produce,Tomatoes,/pl/tomatoes/0611200690,7
Produce,/d/produce,Fresh Prepared Fruits & Vegetables,/pl/packaged-produce/06123,7
Produce,/d/produce,Onions & Garlic,/pl/onions/0611200692,7
Produce,/d/produce,Mushrooms,/pl/ mushrooms/0611200686,7
Produce,/d/produce,Peppers,/pl/peppers/0611200689,7
Produce,/d/produce,Tropical Fruits,/pl/tropicalfruits/0611100675?taxonomyId=0611100675&fulfillment=all,7
Produce,/d/produce,Avocados,/pl/avocado/0611100680?taxonomyId=0611100680&fulfillment=all,7
Deli,/d/deli,Ham Deli Meat,/pl/fresh-deli-hammeat/1300100002?pzn=relevance&taxonomyId=1300100002&fulfillment=all,7
Deli,/d/deli,Turkey Deli Meat,/pl/fresh-deliturkey-meat/1300100003?pzn=relevance&taxonomyId=1300100003&fulfillment=all,7
Deli,/d/deli,All Deli Meat,/pl/fresh-deli-meats/13001?&pzn=relevance,7
Deli,/d/deli,All Deli Cheese,/pl/fresh-deli-cheese/13002,7
Deli,/d/deli,Chicken & Ribs,/search?keyword=delichickenandribs&query=delichickenandribs&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,7
Deli,/d/deli,Sushi,/pl/sushi/1300800002?fulfillment=all&searchType=natural&pzn=relevance,7
Deli,/d/deli,Packaged Deli Meat,/pl/packaged-deli-meat/13003?fulfillment=all&searchType=natural&monet=promo&pzn=relevance,7
Deli,/d/deli,Packaged Deli Cheese,/pl/packaged-deli-cheese/13004,7
Deli,/d/deli,"Hummus, Salsa, Dips & Snacks",/pl/olives-dips-spreads-snacks/13011?fulfillment=all&searchType=natural&monet=promo&pzn=relevance,7
Deli,/d/deli,Specialty Cheese,/pl/specialty-cheeses/13005?fulfillment=all&searchType=natural&monet=promo&pzn=relevance,7
Deli,/d/deli,Charcuterie Meats & Cheese,/search?keyword=CharcuterieDeliDept&query=CharcuterieDeliDept&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,7
Deli,/d/deli,Murray’s Cheese,/b/murrays-cheese,7
Deli,/d/deli,Soups,/pl/soups/1300600008,7
Deli,/d/deli,Home Chef,/b/home-chef,7
Deli,/d/deli,Sandwiches & Salads,/pl/grab-go-meals/13008,7
Deli,/d/deli,Cold Side Dishes,/search?keyword=delicoldpreparedsides&query=delicoldpreparedsides&searchType=mktg attribute&monet=curated&fulfillment=all&pzn=relevance,7
Deli,/d/deli,Party Platters,/pl/party-platters/13010?&pzn=relevance,7
Deli,/d/deli,Deli Online Catering,/fresh,7
Dairy & Eggs,/d/dairy,Cheese,/pl/cheese/02002?searchType=curated&pzn=relevance,7
Dairy & Eggs,/d/dairy,Milk & Plant-Based Milk,/pl/milk-plant-based- milk/02001?searchType=curated&pzn=relevance,7
