parent_category,category_link,reason
Pets,/d/pet-supplies,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Vitacost,https://www.vitacost.com/,page not loaded
Home Chef,/b/home-chef,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Home Chef,/b/home-chef,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
BLOOM HAUS™,/b/bloom-haus,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
ABOUND,/b/abound,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Pet Pride,/b/pet-pride,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Comforts,/b/comforts-baby,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Dip,/b/dip,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Meal Planning,/blog/meal-planning,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Shop Your Regulars,/products/start-my-cart,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Meal Planning,/blog/meal-planning,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Shop Your Regulars,/products/start-my-cart,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Bakery,/d/bakery,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
