parent_category,category_link,reason
Ice Cream & Ice Pops,/pl/ice-cream-ice-pops/19002,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Meals & Sides,/pl/frozen-meals-sides/19004,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Appetizers & Snacks,/pl/frozen-appetizers-snacks/19006,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Vegetables,/pl/frozen-vegetables/19005,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Breakfast,/pl/frozen-breakfast/19007,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
"Frozen Chicken, Meat & Seafood",/pl/frozen-meat-seafood-meatless/19008,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Potatoes & Onion Rings,/pl/frozen-potatoes-onion-rings/19010,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Bread,/pl/frozen-bread/19009,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Fruit,/pl/frozen-fruit/19012,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Desserts & Pies,/pl/frozen-desserts/19001,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Juice & Mixers,/pl/frozen-juice-mixers/19011,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen International Foods,/pl/international-frozen-foods/19013,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen Plant Based Meat,/pl/frozenmeat-alternatives/1900800005?taxonomyId=1900800005&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Grocery,/pl/grocery/18012,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Beauty & Personal Care,/pl/beauty-personal-care/18001,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Meat & Seafood,/pl/meat-seafood/18004,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Produce,/pl/organic-produce/18003,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Dairy & Eggs,/pl/dairy-eggs/18007,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Cleaning & Household,/pl/cleaning-household/18011,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Baby,/pl/baby/18002,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Deli,/pl/deli/18008,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Bread & Bakery,/pl/bakery-bread/18009,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Frozen,/pl/frozen/18010,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Spices & Baking,/pl/spices-baking/18006,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Beverages,/pl/beverages/18005,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Soda & Pop,/pl/soda-pop/04001,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Water,/pl/water/04006,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Juice & Lemonade,/pl/juice/04004,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Milk & Milk Substitutes,/pl/milk-plant-based-milk/02001,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Tea,/pl/tea-kombucha/04007,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Kombucha & Gut Health Beverages,/pl/kombucha-and-gut-health-beverages/04012?pzn=relevance&taxonomyId=04012&fulfillment=all,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Sparkling Water,/pl/sparkling-water/04002,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Sports Drink,/pl/sports-drinks/04005,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Drink Mixes & Beverage Enhancers,/pl/drink-mixes-beverage-enhancers/04008,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Drink Boxes & Pouches,/pl/drink-boxes-pouches/04010,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
Energy Drinks,/pl/energydrinks/04011,Selector not found: .ImageLink-wrapper.block.mx-auto.text-center
