parent_category,name,link
"Movies, Music & Games",Headphones,/gp/browse.html?node=172541&ref_=nav_em_headphones_0_2_16_8
"Movies, Music & Games",Video Games,/gp/browse.html?node=468642&ref_=nav_em__cvg_0_2_16_9
"Movies, Music & Games",PC Gaming,/gp/browse.html?node=8588809011&ref_=nav_em__pcgaming41516_0_2_16_10
"Movies, Music & Games",Digital Games,/gp/browse.html?node=979455011&ref_=nav_em__gdown_0_2_16_11
"Movies, Music & Games",Entertainment Collectibles,/gp/browse.html?node=5088769011&ref_=nav_em__entcol_0_2_16_12
"Movies, Music & Games",Trade In Video Games,/gp/browse.html?node=2242532011&ref_=nav_em__trade_in_mmg_0_2_16_13
Electronics,Electronics Showcase,/gp/browse.html?node=172282&ref_=nav_em__elec_mw_hub_0_2_17_2
Electronics,Cell Phones &amp; Accessories,/gp/browse.html?node=2335752011&ref_=nav_em__wi_0_2_17_3
Electronics,Computers,/gp/browse.html?node=541966&ref_=nav_em__pc_ce_0_2_17_4
Electronics,TV &amp; Video,/gp/browse.html?node=1266092011&ref_=nav_em__tv_0_2_17_5
Electronics,Headphones,/gp/browse.html?node=172541&ref_=nav_em_headphones_0_2_17_6
Electronics,Office Electronics,/gp/browse.html?node=172574&ref_=nav_em_Office Electronics_0_2_17_7
Electronics,"Camera, Photo &amp; Video",/gp/browse.html?node=502394&ref_=nav_em__p_0_2_17_8
Electronics,Wearable Technology,/gp/browse.html?node=9013937011&ref_=nav_em_wear_tech_0_2_17_9
Electronics,Home Audio &amp; Theater,/gp/browse.html?node=667846011&ref_=nav_em__hat_0_2_17_10
Electronics,Musical Instruments,/gp/browse.html?node=11091801&ref_=nav_em__mi_ce_0_2_17_11
Electronics,Video Games,/gp/browse.html?node=468642&ref_=nav_em__mw_cvg_0_2_17_12
Electronics,Software,/gp/browse.html?node=229534&ref_=nav_em__mw_sw_0_2_17_13
Electronics,Amazon Renewed,/gp/browse.html?node=17881058011&ref_=nav_em_nav_cerenewed_0_2_17_14
Computers,"Computers, Tablets, &amp; PC Products",/gp/browse.html?node=541966&ref_=nav_em__basedevices_0_2_18_2
Computers,Monitors,/gp/browse.html?node=1292115011&ref_=nav_em__monitors_0_2_18_3
Computers,Accessories,/gp/browse.html?node=172456&ref_=nav_em__compaccess_0_2_18_4
Computers, Networking ,/gp/browse.html?node=172504&ref_=nav_em__networking_0_2_18_5
Computers,Drives &amp; Storage,/gp/browse.html?node=1292110011&ref_=nav_em__storage_0_2_18_6
Computers,Computer Parts &amp; Components,/gp/browse.html?node=193870011&ref_=nav_em__components_0_2_18_7
Computers,Printers &amp; Ink,/gp/browse.html?node=172635&ref_=nav_em__printers_0_2_18_8
