url,parent_category,error
https://www.amazon.com/gp/browse.html?node=667846011&ref_=nav_em__hat_0_2_17_10,Home Audio &amp; Theater,No LI elements found
https://www.amazon.com/gp/browse.html?node=11091801&ref_=nav_em__mi_ce_0_2_17_11,Musical Instruments,No LI elements found
https://www.amazon.com/gp/browse.html?node=17881058011&ref_=nav_em_nav_cerenewed_0_2_17_14,Amazon Renewed,No LI elements found
https://www.amazon.com/gp/browse.html?node=667846011&ref_=nav_em__hat_0_2_17_10,Home Audio &amp; Theater,No LI elements found
https://www.amazon.com/gp/browse.html?node=11091801&ref_=nav_em__mi_ce_0_2_17_11,Musical Instruments,No LI elements found
https://www.amazon.com/gp/browse.html?node=17881058011&ref_=nav_em_nav_cerenewed_0_2_17_14,Amazon Renewed,No LI elements found
