parent_category,parent_category_link,category,category_link,level
Shop Top Deals,/pr/top-deals,Shop Summer,/f/summer-shop,3
Shop Top Deals,/pr/top-deals,"Spend $40, Save $10 Pet & Baby",/search?keyword=TDPetBabyS40S10P425&query=TDPetBabyS40S10P425&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,3
Shop Top Deals,/pr/top-deals,4X Fuel Points on Gift Cards,/o/gift-cards,3
Shop Top Deals,/pr/top-deals,Budget Friendly Meals,/blog/budget-friendly-meals,3
Shop Top Deals,/pr/top-deals,Shop Kroger Brands,/b/kroger-brand,3
Shop Top Deals,/pr/top-deals,Fuel Points,/pr/fuel-event,3
Start a Pickup or Delivery Order,/f/start-shopping,Shop Summer,/f/summer-shop,3
Start a Pickup or Delivery Order,/f/start-shopping,Weekly Ad,/weeklyad/shoppable,3
Start a Pickup or Delivery Order,/f/start-shopping,Quick & Easy Meals,/blog/meal-planning,3
Start a Pickup or Delivery Order,/f/start-shopping,Save with Kroger Brand,/b/kroger-brand,3
Start a Pickup or Delivery Order,/f/start-shopping,New Arrivals,/f/new-arrivals,3
Shop This Week's Top Deals,/pr/shop-all-promotions,Shop Summer,/f/summer-shop,3
Shop This Week's Top Deals,/pr/shop-all-promotions,"Spend $40, Save $10 Pet & Baby",/search?keyword=TDPetBabyS40S10P425&query=TDPetBabyS40S10P425&searchType=mktg%20attribute&monet=curated&fulfillment=all&pzn=relevance,3
Shop This Week's Top Deals,/pr/shop-all-promotions,4X Fuel Points on Gift Cards,/o/gift-cards,3
Shop This Week's Top Deals,/pr/shop-all-promotions,Budget Friendly Meals,/blog/budget-friendly-meals,3
Shop This Week's Top Deals,/pr/shop-all-promotions,Shop Kroger Brands,/b/kroger-brand,3
Shop This Week's Top Deals,/pr/shop-all-promotions,Fuel Points,/pr/fuel-event,3
